wear	145 71
sake	136 12
throat	36 11
made	929 1452
blessed	27 26
dock	12 17
fun	333 40
finished	134 268
wont	21 2
won	103 834
capital	28 256
prize	28 198
test	101 194
lungs	12 3
bellows	3 2
husky	2 6
wind	87 124
watch	504 57
chest	45 34
balloon	11 19
doubt	104 30
boy	973 130
step	190 62
roll	88 61
sweet	229 58
mamas	5 0
beds	17 20
mama	129 3
cents	39 15
enchanting	1 0
scene	147 150
coney	2 1
island	120 640
lily	43 8
clytie	1 0
nighties	1 0
hey	2681 21
free	309 356
tightwad	1 0
loosen	14 0
lads	47 1
tumble	4 2
target	46 71
grew	78 127
white	282 511
beard	13 6
couldnt	4 1
net	19 37
run	583 441
babe	70 18
ruth	16 22
dare	123 5
knock	76 8
dames	2 3
bunks	2 0
overlook	2 3
carrot	4 0
top	226 573
shape	72 73
attaboy	5 0
wants	451 46
papa	169 9
somebody	483 15
packs	3 5
regular	49 217
heman	1 1
shut	498 36
wrap	22 8
story	368 438
whale	15 2
grasshopper	2 1
laughed	19 1
meself	9 0
blaming	7 3
oyster	2 44
loaf	5 0
ordered	33 137
milk	58 29
hot	277 228
mustard	21 0
pepper	10 18
sugar	54 38
brains	54 8
tick	3 5
tip	56 39
tongue	33 13
given	166 493
knows	404 41
color	46 119
china	40 300
whole	586 178
cheating	28 4
smear	3 10
bait	14 5
across	160 324
clean	204 43
shell	17 61
lucky	221 12
hearing	78 50
such	487 1392
lips	39 17
women	269 597
corpse	13 12
dearie	2 0
afraid	398 12
remember	872 38
scab	2 1
thrown	30 26
brig	3 17
cow	35 15
met	343 190
likes	115 12
pure	35 33
choke	12 5
gullet	3 0
darling	321 16
frightened	38 8
recognized	19 109
stepped	22 19
responsible	70 142
kicked	41 7
wharf	5 8
rat	58 17
ly	2 1
insulting	3 5
toddling	2 0
friendly	48 48
gent	3 2
hope	508 97
bothered	23 1
ann	38 47
skipper	6 4
quarter	35 66
month	148 175
pleasure	144 23
lonesome	14 1
sometimes	262 243
sad	135 17
wanting	44 11
putting	103 30
tests	20 82
boys	462 148
grow	107 55
alive	262 51
last	1069 692
few	468 422
outside	293 251
ships	32 177
passing	42 63
treating	14 12
afternoon	143 21
meaning	59 174
crank	3 4
asking	180 26
gone	546 79
marrying	33 10
may	741 1782
stopping	31 18
stop	1162 157
each	416 827
throats	5 1
pair	58 80
dogs	84 40
truth	309 67
against	316 1093
heart	396 172
feeling	258 41
wife	608 403
cows	25 14
wearing	116 60
rearing	3 0
children	364 528
stumpy	1 1
runt	2 0
blather	2 0
ought	162 10
quicker	15 2
clout	2 1
knocked	48 26
howling	5 0
murder	121 121
best	707 766
youth	33 172
windjammer	1 0
hundred	130 92
storms	13 22
steamers	1 3
deck	35 46
mud	23 17
scow	1 0
below	39 211
wagon	16 8
ashore	8 12
throwing	35 19
insults	3 2
stokehold	2 0
worth	176 71
squareheads	1 0
shipped	13 21
windbag	1 0
irish	39 204
swine	12 5
baboon	2 0
irishman	10 3
grandchildren	8 9
jackasses	1 0
childish	8 3
play	527 511
knives	8 2
sense	211 87
chair	44 90
fighting	107 125
promised	105 41
laid	55 68
teeth	60 33
true	419 171
says	515 137
wondering	82 4
use	504 794
different	350 540
praised	5 51
loved	215 36
grand	134 345
beautiful	513 97
fair	166 76
loser	41 16
mend	6 0
sun	161 213
shining	17 8
asked	312 139
wedded	16 0
heard	606 72
kissed	28 5
knew	659 55
joke	110 12
joking	33 3
mad	181 33
sudden	68 19
often	110 559
figure	170 106
has	1939 3987
listening	108 25
filling	19 11
lies	61 160
believe	976 98
butting	2 0
beginning	101 221
held	66 652
surprised	74 13
reason	298 90
heaven	106 66
minds	38 15
drove	48 37
dress	122 36
dressing	19 18
win	221 302
anyway	398 12
spite	23 23
orders	81 66
wasting	27 7
blazes	4 0
piece	222 89
furniture	27 34
loose	69 22
goat	17 5
forced	37 208
into	1427 2052
mattering	1 0
stick	196 29
owns	26 30
excepting	2 2
boss	244 42
pipe	30 18
raise	69 58
rumpus	1 1
sounded	45 8
rough	63 34
drive	236 151
anyone	447 52
none	177 80
keeping	73 42
count	135 144
dressed	77 33
tried	286 116
changed	173 197
meeting	167 143
afterwards	36 63
stuck	112 18
sized	1 7
believing	16 27
ashamed	40 3
bawlingout	1 0
goods	20 85
curse	56 13
drinking	101 33
shipping	9 31
saints	12 40
driving	97 73
disgracing	1 0
foggy	5 7
feels	93 25
bawl	2 0
fixed	67 38
sign	191 131
londonderry	4 1
sail	33 24
cape	12 93
town	371 912
tomorrow	552 21
booze	36 2
longer	132 160
kicking	22 6
deserve	65 5
rub	25 5
earth	170 266
signed	71 360
far	383 243
africa	48 225
accuse	7 4
stood	50 64
strike	56 90
prove	93 43
swear	157 6
oath	9 20
terrible	148 18
fearful	5 4
soul	123 89
warning	54 34
hears	11 6
blackest	3 0
pity	53 5
treachery	2 2
swearing	8 1
catholic	23 220
cross	96 211
difference	117 71
killing	131 101
blast	34 24
shipmates	2 0
boatswain	1 0
leaving	238 154
runs	46 213
somewhere	208 19
grandchild	3 1
riding	36 63
foot	89 61
twins	11 29
religion	58 151
damned	27 3
entirely	32 75
agreeing	6 12
sport	42 148
morning	746 127
kitty	20 4
isaac	52 26
tommy	197 49
susan	103 38
daddy	339 11
wake	157 43
alright	242 4
ma	177 59
thomas	121 378
school	475 1639
wink	9 0
child	300 196
suck	61 2
thumb	10 15
suzie	8 1
sweetie	105 0
cos	50 6
breakfast	82 31
pants	107 4
hidden	49 57
tattletale	10 0
mutt	8 0
hurting	29 6
which	745 4841
hanging	70 26
tail	46 56
mommy	115 2
wild	102 139
indian	29 267
til	18 4
washed	11 15
tuck	14 2
shirt	53 24
bow	34 23
twin	17 52
tie	77 37
shoes	109 24
neck	92 47
washes	4 1
hurts	65 2
soap	26 39
close	368 275
nose	81 26
rinse	3 1
ahead	264 59
eaten	26 15
meal	35 17
grace	36 54
lunch	144 16
baskets	4 2
egg	56 15
heavenly	43 12
sanctify	1 1
nourishment	1 1
body	284 430
careful	211 11
dear	504 29
books	123 289
kitchen	111 17
cap	15 35
left	807 633
sticking	14 8
isabelle	32 6
phil	35 59
catch	179 40
bell	52 83
bye	291 9
eat	356 45
green	121 311
aples	1 0
